context,target,condition,subject1,subject2,directness,item,stim_classname
Alice and Donald Trump are sitting at a table having a conversation. Alice is insulting Donald Trump.,Alice is not interrupting Donald Trump.,incongruent,Alice,Donald Trump,indirect,3,respecting_insulting
Alice and Mom are sitting at a table having a conversation. Alice is respecting Mom.,Alice is not interrupting Mom.,congruent,Alice,Mom,indirect,4,respecting_insulting
Alice and Mom are sitting at a table having a conversation. Alice is insulting Mom.,Alice tells Mom that Mom is the dumbest person that Alice has ever met.,congruent,Alice,Mom,indirect,4,respecting_insulting
Alice and Mom are sitting at a table having a conversation. Alice is respecting Mom.,Alice tells Mom that Mom is the dumbest person that Alice has ever met.,incongruent,Alice,Mom,indirect,4,respecting_insulting
Alice and Mom are sitting at a table having a conversation. Alice is insulting Mom.,Alice is not interrupting Mom.,incongruent,Alice,Mom,indirect,4,respecting_insulting
Alice and Dad are sitting at a table having a conversation. Alice is respecting Dad.,Alice is not interrupting Dad.,congruent,Alice,Dad,indirect,5,respecting_insulting
Alice and Dad are sitting at a table having a conversation. Alice is insulting Dad.,Alice tells Dad that Dad is the dumbest person that Alice has ever met.,congruent,Alice,Dad,indirect,5,respecting_insulting
Alice and Dad are sitting at a table having a conversation. Alice is respecting Dad.,Alice tells Dad that Dad is the dumbest person that Alice has ever met.,incongruent,Alice,Dad,indirect,5,respecting_insulting
Alice and Dad are sitting at a table having a conversation. Alice is insulting Dad.,Alice is not interrupting Dad.,incongruent,Alice,Dad,indirect,5,respecting_insulting
Bob and Charlie are sitting at a table having a conversation. Bob is respecting Charlie.,Bob is not interrupting Charlie.,congruent,Bob,Charlie,indirect,6,respecting_insulting
Bob and Charlie are sitting at a table having a conversation. Bob is insulting Charlie.,Bob tells Charlie that Charlie is the dumbest person that Bob has ever met.,congruent,Bob,Charlie,indirect,6,respecting_insulting
Bob and Charlie are sitting at a table having a conversation. Bob is respecting Charlie.,Bob tells Charlie that Charlie is the dumbest person that Bob has ever met.,incongruent,Bob,Charlie,indirect,6,respecting_insulting
Bob and Charlie are sitting at a table having a conversation. Bob is insulting Charlie.,Bob is not interrupting Charlie.,incongruent,Bob,Charlie,indirect,6,respecting_insulting
Bob and Barack Obama are sitting at a table having a conversation. Bob is respecting Barack Obama.,Bob is not interrupting Barack Obama.,congruent,Bob,Barack Obama,indirect,7,respecting_insulting
Bob and Barack Obama are sitting at a table having a conversation. Bob is insulting Barack Obama.,Bob tells Barack Obama that Barack Obama is the dumbest person that Bob has ever met.,congruent,Bob,Barack Obama,indirect,7,respecting_insulting
Bob and Barack Obama are sitting at a table having a conversation. Bob is respecting Barack Obama.,Bob tells Barack Obama that Barack Obama is the dumbest person that Bob has ever met.,incongruent,Bob,Barack Obama,indirect,7,respecting_insulting
Bob and Barack Obama are sitting at a table having a conversation. Bob is insulting Barack Obama.,Bob is not interrupting Barack Obama.,incongruent,Bob,Barack Obama,indirect,7,respecting_insulting
Bob and Donald Trump are sitting at a table having a conversation. Bob is respecting Donald Trump.,Bob is not interrupting Donald Trump.,congruent,Bob,Donald Trump,indirect,8,respecting_insulting
Bob and Donald Trump are sitting at a table having a conversation. Bob is insulting Donald Trump.,Bob tells Donald Trump that Donald Trump is the dumbest person that Bob has ever met.,congruent,Bob,Donald Trump,indirect,8,respecting_insulting
Bob and Donald Trump are sitting at a table having a conversation. Bob is respecting Donald Trump.,Bob tells Donald Trump that Donald Trump is the dumbest person that Bob has ever met.,incongruent,Bob,Donald Trump,indirect,8,respecting_insulting
Bob and Donald Trump are sitting at a table having a conversation. Bob is insulting Donald Trump.,Bob is not interrupting Donald Trump.,incongruent,Bob,Donald Trump,indirect,8,respecting_insulting
Bob and Mom are sitting at a table having a conversation. Bob is respecting Mom.,Bob is not interrupting Mom.,congruent,Bob,Mom,indirect,9,respecting_insulting
Bob and Mom are sitting at a table having a conversation. Bob is insulting Mom.,Bob tells Mom that Mom is the dumbest person that Bob has ever met.,congruent,Bob,Mom,indirect,9,respecting_insulting
Bob and Mom are sitting at a table having a conversation. Bob is respecting Mom.,Bob tells Mom that Mom is the dumbest person that Bob has ever met.,incongruent,Bob,Mom,indirect,9,respecting_insulting
Bob and Mom are sitting at a table having a conversation. Bob is insulting Mom.,Bob is not interrupting Mom.,incongruent,Bob,Mom,indirect,9,respecting_insulting
Bob and Dad are sitting at a table having a conversation. Bob is respecting Dad.,Bob is not interrupting Dad.,congruent,Bob,Dad,indirect,10,respecting_insulting
Bob and Dad are sitting at a table having a conversation. Bob is insulting Dad.,Bob tells Dad that Dad is the dumbest person that Bob has ever met.,congruent,Bob,Dad,indirect,10,respecting_insulting
Bob and Dad are sitting at a table having a conversation. Bob is respecting Dad.,Bob tells Dad that Dad is the dumbest person that Bob has ever met.,incongruent,Bob,Dad,indirect,10,respecting_insulting
Bob and Dad are sitting at a table having a conversation. Bob is insulting Dad.,Bob is not interrupting Dad.,incongruent,Bob,Dad,indirect,10,respecting_insulting
Charlie and Barack Obama are sitting at a table having a conversation. Charlie is respecting Barack Obama.,Charlie is not interrupting Barack Obama.,congruent,Charlie,Barack Obama,indirect,11,respecting_insulting
Charlie and Barack Obama are sitting at a table having a conversation. Charlie is insulting Barack Obama.,Charlie tells Barack Obama that Barack Obama is the dumbest person that Charlie has ever met.,congruent,Charlie,Barack Obama,indirect,11,respecting_insulting
Charlie and Barack Obama are sitting at a table having a conversation. Charlie is respecting Barack Obama.,Charlie tells Barack Obama that Barack Obama is the dumbest person that Charlie has ever met.,incongruent,Charlie,Barack Obama,indirect,11,respecting_insulting
Charlie and Barack Obama are sitting at a table having a conversation. Charlie is insulting Barack Obama.,Charlie is not interrupting Barack Obama.,incongruent,Charlie,Barack Obama,indirect,11,respecting_insulting
Charlie and Donald Trump are sitting at a table having a conversation. Charlie is respecting Donald Trump.,Charlie is not interrupting Donald Trump.,congruent,Charlie,Donald Trump,indirect,12,respecting_insulting
Charlie and Donald Trump are sitting at a table having a conversation. Charlie is insulting Donald Trump.,Charlie tells Donald Trump that Donald Trump is the dumbest person that Charlie has ever met.,congruent,Charlie,Donald Trump,indirect,12,respecting_insulting
Charlie and Donald Trump are sitting at a table having a conversation. Charlie is respecting Donald Trump.,Charlie tells Donald Trump that Donald Trump is the dumbest person that Charlie has ever met.,incongruent,Charlie,Donald Trump,indirect,12,respecting_insulting
Charlie and Donald Trump are sitting at a table having a conversation. Charlie is insulting Donald Trump.,Charlie is not interrupting Donald Trump.,incongruent,Charlie,Donald Trump,indirect,12,respecting_insulting
Charlie and Mom are sitting at a table having a conversation. Charlie is respecting Mom.,Charlie is not interrupting Mom.,congruent,Charlie,Mom,indirect,13,respecting_insulting
Charlie and Mom are sitting at a table having a conversation. Charlie is insulting Mom.,Charlie tells Mom that Mom is the dumbest person that Charlie has ever met.,congruent,Charlie,Mom,indirect,13,respecting_insulting
Charlie and Mom are sitting at a table having a conversation. Charlie is respecting Mom.,Charlie tells Mom that Mom is the dumbest person that Charlie has ever met.,incongruent,Charlie,Mom,indirect,13,respecting_insulting
Charlie and Mom are sitting at a table having a conversation. Charlie is insulting Mom.,Charlie is not interrupting Mom.,incongruent,Charlie,Mom,indirect,13,respecting_insulting
Charlie and Dad are sitting at a table having a conversation. Charlie is respecting Dad.,Charlie is not interrupting Dad.,congruent,Charlie,Dad,indirect,14,respecting_insulting
Charlie and Dad are sitting at a table having a conversation. Charlie is insulting Dad.,Charlie tells Dad that Dad is the dumbest person that Charlie has ever met.,congruent,Charlie,Dad,indirect,14,respecting_insulting
Charlie and Dad are sitting at a table having a conversation. Charlie is respecting Dad.,Charlie tells Dad that Dad is the dumbest person that Charlie has ever met.,incongruent,Charlie,Dad,indirect,14,respecting_insulting
Charlie and Dad are sitting at a table having a conversation. Charlie is insulting Dad.,Charlie is not interrupting Dad.,incongruent,Charlie,Dad,indirect,14,respecting_insulting
Barack Obama and Donald Trump are sitting at a table having a conversation. Barack Obama is respecting Donald Trump.,Barack Obama is not interrupting Donald Trump.,congruent,Barack Obama,Donald Trump,indirect,15,respecting_insulting
Barack Obama and Donald Trump are sitting at a table having a conversation. Barack Obama is insulting Donald Trump.,Barack Obama tells Donald Trump that Donald Trump is the dumbest person that Barack Obama has ever met.,congruent,Barack Obama,Donald Trump,indirect,15,respecting_insulting
Barack Obama and Donald Trump are sitting at a table having a conversation. Barack Obama is respecting Donald Trump.,Barack Obama tells Donald Trump that Donald Trump is the dumbest person that Barack Obama has ever met.,incongruent,Barack Obama,Donald Trump,indirect,15,respecting_insulting
Barack Obama and Donald Trump are sitting at a table having a conversation. Barack Obama is insulting Donald Trump.,Barack Obama is not interrupting Donald Trump.,incongruent,Barack Obama,Donald Trump,indirect,15,respecting_insulting
Barack Obama and Mom are sitting at a table having a conversation. Barack Obama is respecting Mom.,Barack Obama is not interrupting Mom.,congruent,Barack Obama,Mom,indirect,16,respecting_insulting
Barack Obama and Mom are sitting at a table having a conversation. Barack Obama is insulting Mom.,Barack Obama tells Mom that Mom is the dumbest person that Barack Obama has ever met.,congruent,Barack Obama,Mom,indirect,16,respecting_insulting
Barack Obama and Mom are sitting at a table having a conversation. Barack Obama is respecting Mom.,Barack Obama tells Mom that Mom is the dumbest person that Barack Obama has ever met.,incongruent,Barack Obama,Mom,indirect,16,respecting_insulting
Barack Obama and Mom are sitting at a table having a conversation. Barack Obama is insulting Mom.,Barack Obama is not interrupting Mom.,incongruent,Barack Obama,Mom,indirect,16,respecting_insulting
Barack Obama and Dad are sitting at a table having a conversation. Barack Obama is respecting Dad.,Barack Obama is not interrupting Dad.,congruent,Barack Obama,Dad,indirect,17,respecting_insulting
Barack Obama and Dad are sitting at a table having a conversation. Barack Obama is insulting Dad.,Barack Obama tells Dad that Dad is the dumbest person that Barack Obama has ever met.,congruent,Barack Obama,Dad,indirect,17,respecting_insulting
Barack Obama and Dad are sitting at a table having a conversation. Barack Obama is respecting Dad.,Barack Obama tells Dad that Dad is the dumbest person that Barack Obama has ever met.,incongruent,Barack Obama,Dad,indirect,17,respecting_insulting
Barack Obama and Dad are sitting at a table having a conversation. Barack Obama is insulting Dad.,Barack Obama is not interrupting Dad.,incongruent,Barack Obama,Dad,indirect,17,respecting_insulting
Donald Trump and Mom are sitting at a table having a conversation. Donald Trump is respecting Mom.,Donald Trump is not interrupting Mom.,congruent,Donald Trump,Mom,indirect,18,respecting_insulting
Donald Trump and Mom are sitting at a table having a conversation. Donald Trump is insulting Mom.,Donald Trump tells Mom that Mom is the dumbest person that Donald Trump has ever met.,congruent,Donald Trump,Mom,indirect,18,respecting_insulting
Donald Trump and Mom are sitting at a table having a conversation. Donald Trump is respecting Mom.,Donald Trump tells Mom that Mom is the dumbest person that Donald Trump has ever met.,incongruent,Donald Trump,Mom,indirect,18,respecting_insulting
Donald Trump and Mom are sitting at a table having a conversation. Donald Trump is insulting Mom.,Donald Trump is not interrupting Mom.,incongruent,Donald Trump,Mom,indirect,18,respecting_insulting
Donald Trump and Dad are sitting at a table having a conversation. Donald Trump is respecting Dad.,Donald Trump is not interrupting Dad.,congruent,Donald Trump,Dad,indirect,19,respecting_insulting
Donald Trump and Dad are sitting at a table having a conversation. Donald Trump is insulting Dad.,Donald Trump tells Dad that Dad is the dumbest person that Donald Trump has ever met.,congruent,Donald Trump,Dad,indirect,19,respecting_insulting
Donald Trump and Dad are sitting at a table having a conversation. Donald Trump is respecting Dad.,Donald Trump tells Dad that Dad is the dumbest person that Donald Trump has ever met.,incongruent,Donald Trump,Dad,indirect,19,respecting_insulting
Donald Trump and Dad are sitting at a table having a conversation. Donald Trump is insulting Dad.,Donald Trump is not interrupting Dad.,incongruent,Donald Trump,Dad,indirect,19,respecting_insulting
Mom and Dad are sitting at a table having a conversation. Mom is respecting Dad.,Mom is not interrupting Dad.,congruent,Mom,Dad,indirect,20,respecting_insulting
Mom and Dad are sitting at a table having a conversation. Mom is insulting Dad.,Mom tells Dad that Dad is the dumbest person that Mom has ever met.,congruent,Mom,Dad,indirect,20,respecting_insulting
Mom and Dad are sitting at a table having a conversation. Mom is respecting Dad.,Mom tells Dad that Dad is the dumbest person that Mom has ever met.,incongruent,Mom,Dad,indirect,20,respecting_insulting
Mom and Dad are sitting at a table having a conversation. Mom is insulting Dad.,Mom is not interrupting Dad.,incongruent,Mom,Dad,indirect,20,respecting_insulting
Alice and Bob are sitting at a table having a conversation. Alice is respecting Bob.,Alice is being considerate towards Bob.,congruent,Alice,Bob,direct,21,respecting_insulting
Alice and Bob are sitting at a table having a conversation. Alice is insulting Bob.,Alice is saying hurtful things about Bob.,congruent,Alice,Bob,direct,21,respecting_insulting
Alice and Bob are sitting at a table having a conversation. Alice is respecting Bob.,Alice is saying hurtful things about Bob.,incongruent,Alice,Bob,direct,21,respecting_insulting
Alice and Bob are sitting at a table having a conversation. Alice is insulting Bob.,Alice is being considerate towards Bob.,incongruent,Alice,Bob,direct,21,respecting_insulting
Alice and Charlie are sitting at a table having a conversation. Alice is respecting Charlie.,Alice is being considerate towards Charlie.,congruent,Alice,Charlie,direct,22,respecting_insulting
Alice and Charlie are sitting at a table having a conversation. Alice is insulting Charlie.,Alice is saying hurtful things about Charlie.,congruent,Alice,Charlie,direct,22,respecting_insulting
Alice and Charlie are sitting at a table having a conversation. Alice is respecting Charlie.,Alice is saying hurtful things about Charlie.,incongruent,Alice,Charlie,direct,22,respecting_insulting
Alice and Charlie are sitting at a table having a conversation. Alice is insulting Charlie.,Alice is being considerate towards Charlie.,incongruent,Alice,Charlie,direct,22,respecting_insulting
Alice and Barack Obama are sitting at a table having a conversation. Alice is respecting Barack Obama.,Alice is being considerate towards Barack Obama.,congruent,Alice,Barack Obama,direct,23,respecting_insulting
Alice and Barack Obama are sitting at a table having a conversation. Alice is insulting Barack Obama.,Alice is saying hurtful things about Barack Obama.,congruent,Alice,Barack Obama,direct,23,respecting_insulting
Alice and Barack Obama are sitting at a table having a conversation. Alice is respecting Barack Obama.,Alice is saying hurtful things about Barack Obama.,incongruent,Alice,Barack Obama,direct,23,respecting_insulting
Alice and Barack Obama are sitting at a table having a conversation. Alice is insulting Barack Obama.,Alice is being considerate towards Barack Obama.,incongruent,Alice,Barack Obama,direct,23,respecting_insulting
Alice and Donald Trump are sitting at a table having a conversation. Alice is respecting Donald Trump.,Alice is being considerate towards Donald Trump.,congruent,Alice,Donald Trump,direct,24,respecting_insulting
Alice and Donald Trump are sitting at a table having a conversation. Alice is insulting Donald Trump.,Alice is saying hurtful things about Donald Trump.,congruent,Alice,Donald Trump,direct,24,respecting_insulting
Alice and Donald Trump are sitting at a table having a conversation. Alice is respecting Donald Trump.,Alice is saying hurtful things about Donald Trump.,incongruent,Alice,Donald Trump,direct,24,respecting_insulting
Alice and Donald Trump are sitting at a table having a conversation. Alice is insulting Donald Trump.,Alice is being considerate towards Donald Trump.,incongruent,Alice,Donald Trump,direct,24,respecting_insulting
Alice and Mom are sitting at a table having a conversation. Alice is respecting Mom.,Alice is being considerate towards Mom.,congruent,Alice,Mom,direct,25,respecting_insulting
Alice and Mom are sitting at a table having a conversation. Alice is insulting Mom.,Alice is saying hurtful things about Mom.,congruent,Alice,Mom,direct,25,respecting_insulting
Alice and Mom are sitting at a table having a conversation. Alice is respecting Mom.,Alice is saying hurtful things about Mom.,incongruent,Alice,Mom,direct,25,respecting_insulting
Alice and Mom are sitting at a table having a conversation. Alice is insulting Mom.,Alice is being considerate towards Mom.,incongruent,Alice,Mom,direct,25,respecting_insulting
Alice and Dad are sitting at a table having a conversation. Alice is respecting Dad.,Alice is being considerate towards Dad.,congruent,Alice,Dad,direct,26,respecting_insulting
Alice and Dad are sitting at a table having a conversation. Alice is insulting Dad.,Alice is saying hurtful things about Dad.,congruent,Alice,Dad,direct,26,respecting_insulting
Alice and Dad are sitting at a table having a conversation. Alice is respecting Dad.,Alice is saying hurtful things about Dad.,incongruent,Alice,Dad,direct,26,respecting_insulting
Alice and Dad are sitting at a table having a conversation. Alice is insulting Dad.,Alice is being considerate towards Dad.,incongruent,Alice,Dad,direct,26,respecting_insulting
Bob and Charlie are sitting at a table having a conversation. Bob is respecting Charlie.,Bob is being considerate towards Charlie.,congruent,Bob,Charlie,direct,27,respecting_insulting
Bob and Charlie are sitting at a table having a conversation. Bob is insulting Charlie.,Bob is saying hurtful things about Charlie.,congruent,Bob,Charlie,direct,27,respecting_insulting
Bob and Charlie are sitting at a table having a conversation. Bob is respecting Charlie.,Bob is saying hurtful things about Charlie.,incongruent,Bob,Charlie,direct,27,respecting_insulting
Bob and Charlie are sitting at a table having a conversation. Bob is insulting Charlie.,Bob is being considerate towards Charlie.,incongruent,Bob,Charlie,direct,27,respecting_insulting
Bob and Barack Obama are sitting at a table having a conversation. Bob is respecting Barack Obama.,Bob is being considerate towards Barack Obama.,congruent,Bob,Barack Obama,direct,28,respecting_insulting
Bob and Barack Obama are sitting at a table having a conversation. Bob is insulting Barack Obama.,Bob is saying hurtful things about Barack Obama.,congruent,Bob,Barack Obama,direct,28,respecting_insulting
Bob and Barack Obama are sitting at a table having a conversation. Bob is respecting Barack Obama.,Bob is saying hurtful things about Barack Obama.,incongruent,Bob,Barack Obama,direct,28,respecting_insulting
Bob and Barack Obama are sitting at a table having a conversation. Bob is insulting Barack Obama.,Bob is being considerate towards Barack Obama.,incongruent,Bob,Barack Obama,direct,28,respecting_insulting
Bob and Donald Trump are sitting at a table having a conversation. Bob is respecting Donald Trump.,Bob is being considerate towards Donald Trump.,congruent,Bob,Donald Trump,direct,29,respecting_insulting
Bob and Donald Trump are sitting at a table having a conversation. Bob is insulting Donald Trump.,Bob is saying hurtful things about Donald Trump.,congruent,Bob,Donald Trump,direct,29,respecting_insulting
Bob and Donald Trump are sitting at a table having a conversation. Bob is respecting Donald Trump.,Bob is saying hurtful things about Donald Trump.,incongruent,Bob,Donald Trump,direct,29,respecting_insulting
Bob and Donald Trump are sitting at a table having a conversation. Bob is insulting Donald Trump.,Bob is being considerate towards Donald Trump.,incongruent,Bob,Donald Trump,direct,29,respecting_insulting
Bob and Mom are sitting at a table having a conversation. Bob is respecting Mom.,Bob is being considerate towards Mom.,congruent,Bob,Mom,direct,30,respecting_insulting
Bob and Mom are sitting at a table having a conversation. Bob is insulting Mom.,Bob is saying hurtful things about Mom.,congruent,Bob,Mom,direct,30,respecting_insulting
Bob and Mom are sitting at a table having a conversation. Bob is respecting Mom.,Bob is saying hurtful things about Mom.,incongruent,Bob,Mom,direct,30,respecting_insulting
Bob and Mom are sitting at a table having a conversation. Bob is insulting Mom.,Bob is being considerate towards Mom.,incongruent,Bob,Mom,direct,30,respecting_insulting
Bob and Dad are sitting at a table having a conversation. Bob is respecting Dad.,Bob is being considerate towards Dad.,congruent,Bob,Dad,direct,31,respecting_insulting
Bob and Dad are sitting at a table having a conversation. Bob is insulting Dad.,Bob is saying hurtful things about Dad.,congruent,Bob,Dad,direct,31,respecting_insulting
Bob and Dad are sitting at a table having a conversation. Bob is respecting Dad.,Bob is saying hurtful things about Dad.,incongruent,Bob,Dad,direct,31,respecting_insulting
Bob and Dad are sitting at a table having a conversation. Bob is insulting Dad.,Bob is being considerate towards Dad.,incongruent,Bob,Dad,direct,31,respecting_insulting
Charlie and Barack Obama are sitting at a table having a conversation. Charlie is respecting Barack Obama.,Charlie is being considerate towards Barack Obama.,congruent,Charlie,Barack Obama,direct,32,respecting_insulting
Charlie and Barack Obama are sitting at a table having a conversation. Charlie is insulting Barack Obama.,Charlie is saying hurtful things about Barack Obama.,congruent,Charlie,Barack Obama,direct,32,respecting_insulting
Charlie and Barack Obama are sitting at a table having a conversation. Charlie is respecting Barack Obama.,Charlie is saying hurtful things about Barack Obama.,incongruent,Charlie,Barack Obama,direct,32,respecting_insulting
Charlie and Barack Obama are sitting at a table having a conversation. Charlie is insulting Barack Obama.,Charlie is being considerate towards Barack Obama.,incongruent,Charlie,Barack Obama,direct,32,respecting_insulting
Charlie and Donald Trump are sitting at a table having a conversation. Charlie is respecting Donald Trump.,Charlie is being considerate towards Donald Trump.,congruent,Charlie,Donald Trump,direct,33,respecting_insulting
Charlie and Donald Trump are sitting at a table having a conversation. Charlie is insulting Donald Trump.,Charlie is saying hurtful things about Donald Trump.,congruent,Charlie,Donald Trump,direct,33,respecting_insulting
Charlie and Donald Trump are sitting at a table having a conversation. Charlie is respecting Donald Trump.,Charlie is saying hurtful things about Donald Trump.,incongruent,Charlie,Donald Trump,direct,33,respecting_insulting
Charlie and Donald Trump are sitting at a table having a conversation. Charlie is insulting Donald Trump.,Charlie is being considerate towards Donald Trump.,incongruent,Charlie,Donald Trump,direct,33,respecting_insulting
Charlie and Mom are sitting at a table having a conversation. Charlie is respecting Mom.,Charlie is being considerate towards Mom.,congruent,Charlie,Mom,direct,34,respecting_insulting
Charlie and Mom are sitting at a table having a conversation. Charlie is insulting Mom.,Charlie is saying hurtful things about Mom.,congruent,Charlie,Mom,direct,34,respecting_insulting
Charlie and Mom are sitting at a table having a conversation. Charlie is respecting Mom.,Charlie is saying hurtful things about Mom.,incongruent,Charlie,Mom,direct,34,respecting_insulting
Charlie and Mom are sitting at a table having a conversation. Charlie is insulting Mom.,Charlie is being considerate towards Mom.,incongruent,Charlie,Mom,direct,34,respecting_insulting
Charlie and Dad are sitting at a table having a conversation. Charlie is respecting Dad.,Charlie is being considerate towards Dad.,congruent,Charlie,Dad,direct,35,respecting_insulting
Charlie and Dad are sitting at a table having a conversation. Charlie is insulting Dad.,Charlie is saying hurtful things about Dad.,congruent,Charlie,Dad,direct,35,respecting_insulting
Charlie and Dad are sitting at a table having a conversation. Charlie is respecting Dad.,Charlie is saying hurtful things about Dad.,incongruent,Charlie,Dad,direct,35,respecting_insulting
Charlie and Dad are sitting at a table having a conversation. Charlie is insulting Dad.,Charlie is being considerate towards Dad.,incongruent,Charlie,Dad,direct,35,respecting_insulting
Barack Obama and Donald Trump are sitting at a table having a conversation. Barack Obama is respecting Donald Trump.,Barack Obama is being considerate towards Donald Trump.,congruent,Barack Obama,Donald Trump,direct,36,respecting_insulting
Barack Obama and Donald Trump are sitting at a table having a conversation. Barack Obama is insulting Donald Trump.,Barack Obama is saying hurtful things about Donald Trump.,congruent,Barack Obama,Donald Trump,direct,36,respecting_insulting
Barack Obama and Donald Trump are sitting at a table having a conversation. Barack Obama is respecting Donald Trump.,Barack Obama is saying hurtful things about Donald Trump.,incongruent,Barack Obama,Donald Trump,direct,36,respecting_insulting
Barack Obama and Donald Trump are sitting at a table having a conversation. Barack Obama is insulting Donald Trump.,Barack Obama is being considerate towards Donald Trump.,incongruent,Barack Obama,Donald Trump,direct,36,respecting_insulting
Barack Obama and Mom are sitting at a table having a conversation. Barack Obama is respecting Mom.,Barack Obama is being considerate towards Mom.,congruent,Barack Obama,Mom,direct,37,respecting_insulting
Barack Obama and Mom are sitting at a table having a conversation. Barack Obama is insulting Mom.,Barack Obama is saying hurtful things about Mom.,congruent,Barack Obama,Mom,direct,37,respecting_insulting
Barack Obama and Mom are sitting at a table having a conversation. Barack Obama is respecting Mom.,Barack Obama is saying hurtful things about Mom.,incongruent,Barack Obama,Mom,direct,37,respecting_insulting
Barack Obama and Mom are sitting at a table having a conversation. Barack Obama is insulting Mom.,Barack Obama is being considerate towards Mom.,incongruent,Barack Obama,Mom,direct,37,respecting_insulting
Barack Obama and Dad are sitting at a table having a conversation. Barack Obama is respecting Dad.,Barack Obama is being considerate towards Dad.,congruent,Barack Obama,Dad,direct,38,respecting_insulting
Barack Obama and Dad are sitting at a table having a conversation. Barack Obama is insulting Dad.,Barack Obama is saying hurtful things about Dad.,congruent,Barack Obama,Dad,direct,38,respecting_insulting
Barack Obama and Dad are sitting at a table having a conversation. Barack Obama is respecting Dad.,Barack Obama is saying hurtful things about Dad.,incongruent,Barack Obama,Dad,direct,38,respecting_insulting
Barack Obama and Dad are sitting at a table having a conversation. Barack Obama is insulting Dad.,Barack Obama is being considerate towards Dad.,incongruent,Barack Obama,Dad,direct,38,respecting_insulting
Donald Trump and Mom are sitting at a table having a conversation. Donald Trump is respecting Mom.,Donald Trump is being considerate towards Mom.,congruent,Donald Trump,Mom,direct,39,respecting_insulting
Donald Trump and Mom are sitting at a table having a conversation. Donald Trump is insulting Mom.,Donald Trump is saying hurtful things about Mom.,congruent,Donald Trump,Mom,direct,39,respecting_insulting
Donald Trump and Mom are sitting at a table having a conversation. Donald Trump is respecting Mom.,Donald Trump is saying hurtful things about Mom.,incongruent,Donald Trump,Mom,direct,39,respecting_insulting
Donald Trump and Mom are sitting at a table having a conversation. Donald Trump is insulting Mom.,Donald Trump is being considerate towards Mom.,incongruent,Donald Trump,Mom,direct,39,respecting_insulting
Donald Trump and Dad are sitting at a table having a conversation. Donald Trump is respecting Dad.,Donald Trump is being considerate towards Dad.,congruent,Donald Trump,Dad,direct,40,respecting_insulting
Donald Trump and Dad are sitting at a table having a conversation. Donald Trump is insulting Dad.,Donald Trump is saying hurtful things about Dad.,congruent,Donald Trump,Dad,direct,40,respecting_insulting
Donald Trump and Dad are sitting at a table having a conversation. Donald Trump is respecting Dad.,Donald Trump is saying hurtful things about Dad.,incongruent,Donald Trump,Dad,direct,40,respecting_insulting
