item,stim_classname,directness,condition,context,target,subject1,object1,object2,subject2,year
16,value_financial,indirect,incongruent,"At the store Bob wanted to buy either an orange or a blicket, but only had enough money to buy an orange.",an orange costs more than a blicket.,Bob,an orange,a blicket,,
16,value_financial,indirect,incongruent,"At the store Bob wanted to buy either an orange or a blicket, but only had enough money to buy a blicket.",a blicket costs more than an orange.,Bob,an orange,a blicket,,
17,value_financial,indirect,congruent,"At the store Bob wanted to buy either a pineapple or a dax, but only had enough money to buy a pineapple.",a dax costs more than a pineapple.,Bob,a pineapple,a dax,,
17,value_financial,indirect,congruent,"At the store Bob wanted to buy either a pineapple or a dax, but only had enough money to buy a dax.",a pineapple costs more than a dax.,Bob,a pineapple,a dax,,
17,value_financial,indirect,incongruent,"At the store Bob wanted to buy either a pineapple or a dax, but only had enough money to buy a pineapple.",a pineapple costs more than a dax.,Bob,a pineapple,a dax,,
17,value_financial,indirect,incongruent,"At the store Bob wanted to buy either a pineapple or a dax, but only had enough money to buy a dax.",a dax costs more than a pineapple.,Bob,a pineapple,a dax,,
18,value_financial,indirect,congruent,"At the store Bob wanted to buy either a pineapple or a blicket, but only had enough money to buy a pineapple.",a blicket costs more than a pineapple.,Bob,a pineapple,a blicket,,
18,value_financial,indirect,congruent,"At the store Bob wanted to buy either a pineapple or a blicket, but only had enough money to buy a blicket.",a pineapple costs more than a blicket.,Bob,a pineapple,a blicket,,
18,value_financial,indirect,incongruent,"At the store Bob wanted to buy either a pineapple or a blicket, but only had enough money to buy a pineapple.",a pineapple costs more than a blicket.,Bob,a pineapple,a blicket,,
18,value_financial,indirect,incongruent,"At the store Bob wanted to buy either a pineapple or a blicket, but only had enough money to buy a blicket.",a blicket costs more than a pineapple.,Bob,a pineapple,a blicket,,
19,value_financial,indirect,congruent,"At the store Bob wanted to buy either a dax or a blicket, but only had enough money to buy a dax.",a blicket costs more than a dax.,Bob,a dax,a blicket,,
19,value_financial,indirect,congruent,"At the store Bob wanted to buy either a dax or a blicket, but only had enough money to buy a blicket.",a dax costs more than a blicket.,Bob,a dax,a blicket,,
19,value_financial,indirect,incongruent,"At the store Bob wanted to buy either a dax or a blicket, but only had enough money to buy a dax.",a dax costs more than a blicket.,Bob,a dax,a blicket,,
19,value_financial,indirect,incongruent,"At the store Bob wanted to buy either a dax or a blicket, but only had enough money to buy a blicket.",a blicket costs more than a dax.,Bob,a dax,a blicket,,
20,value_financial,indirect,congruent,"At the store Charlie wanted to buy either an apple or an orange, but only had enough money to buy an apple.",an orange costs more than an apple.,Charlie,an apple,an orange,,
20,value_financial,indirect,congruent,"At the store Charlie wanted to buy either an apple or an orange, but only had enough money to buy an orange.",an apple costs more than an orange.,Charlie,an apple,an orange,,
20,value_financial,indirect,incongruent,"At the store Charlie wanted to buy either an apple or an orange, but only had enough money to buy an apple.",an apple costs more than an orange.,Charlie,an apple,an orange,,
20,value_financial,indirect,incongruent,"At the store Charlie wanted to buy either an apple or an orange, but only had enough money to buy an orange.",an orange costs more than an apple.,Charlie,an apple,an orange,,
21,value_financial,indirect,congruent,"At the store Charlie wanted to buy either an apple or a pineapple, but only had enough money to buy an apple.",a pineapple costs more than an apple.,Charlie,an apple,a pineapple,,
21,value_financial,indirect,congruent,"At the store Charlie wanted to buy either an apple or a pineapple, but only had enough money to buy a pineapple.",an apple costs more than a pineapple.,Charlie,an apple,a pineapple,,
21,value_financial,indirect,incongruent,"At the store Charlie wanted to buy either an apple or a pineapple, but only had enough money to buy an apple.",an apple costs more than a pineapple.,Charlie,an apple,a pineapple,,
21,value_financial,indirect,incongruent,"At the store Charlie wanted to buy either an apple or a pineapple, but only had enough money to buy a pineapple.",a pineapple costs more than an apple.,Charlie,an apple,a pineapple,,
22,value_financial,indirect,congruent,"At the store Charlie wanted to buy either an apple or a dax, but only had enough money to buy an apple.",a dax costs more than an apple.,Charlie,an apple,a dax,,
22,value_financial,indirect,congruent,"At the store Charlie wanted to buy either an apple or a dax, but only had enough money to buy a dax.",an apple costs more than a dax.,Charlie,an apple,a dax,,
22,value_financial,indirect,incongruent,"At the store Charlie wanted to buy either an apple or a dax, but only had enough money to buy an apple.",an apple costs more than a dax.,Charlie,an apple,a dax,,
22,value_financial,indirect,incongruent,"At the store Charlie wanted to buy either an apple or a dax, but only had enough money to buy a dax.",a dax costs more than an apple.,Charlie,an apple,a dax,,
23,value_financial,indirect,congruent,"At the store Charlie wanted to buy either an apple or a blicket, but only had enough money to buy an apple.",a blicket costs more than an apple.,Charlie,an apple,a blicket,,
23,value_financial,indirect,congruent,"At the store Charlie wanted to buy either an apple or a blicket, but only had enough money to buy a blicket.",an apple costs more than a blicket.,Charlie,an apple,a blicket,,
23,value_financial,indirect,incongruent,"At the store Charlie wanted to buy either an apple or a blicket, but only had enough money to buy an apple.",an apple costs more than a blicket.,Charlie,an apple,a blicket,,
23,value_financial,indirect,incongruent,"At the store Charlie wanted to buy either an apple or a blicket, but only had enough money to buy a blicket.",a blicket costs more than an apple.,Charlie,an apple,a blicket,,
24,value_financial,indirect,congruent,"At the store Charlie wanted to buy either an orange or a pineapple, but only had enough money to buy an orange.",a pineapple costs more than an orange.,Charlie,an orange,a pineapple,,
24,value_financial,indirect,congruent,"At the store Charlie wanted to buy either an orange or a pineapple, but only had enough money to buy a pineapple.",an orange costs more than a pineapple.,Charlie,an orange,a pineapple,,
24,value_financial,indirect,incongruent,"At the store Charlie wanted to buy either an orange or a pineapple, but only had enough money to buy an orange.",an orange costs more than a pineapple.,Charlie,an orange,a pineapple,,
24,value_financial,indirect,incongruent,"At the store Charlie wanted to buy either an orange or a pineapple, but only had enough money to buy a pineapple.",a pineapple costs more than an orange.,Charlie,an orange,a pineapple,,
25,value_financial,indirect,congruent,"At the store Charlie wanted to buy either an orange or a dax, but only had enough money to buy an orange.",a dax costs more than an orange.,Charlie,an orange,a dax,,
25,value_financial,indirect,congruent,"At the store Charlie wanted to buy either an orange or a dax, but only had enough money to buy a dax.",an orange costs more than a dax.,Charlie,an orange,a dax,,
25,value_financial,indirect,incongruent,"At the store Charlie wanted to buy either an orange or a dax, but only had enough money to buy an orange.",an orange costs more than a dax.,Charlie,an orange,a dax,,
25,value_financial,indirect,incongruent,"At the store Charlie wanted to buy either an orange or a dax, but only had enough money to buy a dax.",a dax costs more than an orange.,Charlie,an orange,a dax,,
26,value_financial,indirect,congruent,"At the store Charlie wanted to buy either an orange or a blicket, but only had enough money to buy an orange.",a blicket costs more than an orange.,Charlie,an orange,a blicket,,
26,value_financial,indirect,congruent,"At the store Charlie wanted to buy either an orange or a blicket, but only had enough money to buy a blicket.",an orange costs more than a blicket.,Charlie,an orange,a blicket,,
26,value_financial,indirect,incongruent,"At the store Charlie wanted to buy either an orange or a blicket, but only had enough money to buy an orange.",an orange costs more than a blicket.,Charlie,an orange,a blicket,,
26,value_financial,indirect,incongruent,"At the store Charlie wanted to buy either an orange or a blicket, but only had enough money to buy a blicket.",a blicket costs more than an orange.,Charlie,an orange,a blicket,,
27,value_financial,indirect,congruent,"At the store Charlie wanted to buy either a pineapple or a dax, but only had enough money to buy a pineapple.",a dax costs more than a pineapple.,Charlie,a pineapple,a dax,,
27,value_financial,indirect,congruent,"At the store Charlie wanted to buy either a pineapple or a dax, but only had enough money to buy a dax.",a pineapple costs more than a dax.,Charlie,a pineapple,a dax,,
27,value_financial,indirect,incongruent,"At the store Charlie wanted to buy either a pineapple or a dax, but only had enough money to buy a pineapple.",a pineapple costs more than a dax.,Charlie,a pineapple,a dax,,
27,value_financial,indirect,incongruent,"At the store Charlie wanted to buy either a pineapple or a dax, but only had enough money to buy a dax.",a dax costs more than a pineapple.,Charlie,a pineapple,a dax,,
28,value_financial,indirect,congruent,"At the store Charlie wanted to buy either a pineapple or a blicket, but only had enough money to buy a pineapple.",a blicket costs more than a pineapple.,Charlie,a pineapple,a blicket,,
28,value_financial,indirect,congruent,"At the store Charlie wanted to buy either a pineapple or a blicket, but only had enough money to buy a blicket.",a pineapple costs more than a blicket.,Charlie,a pineapple,a blicket,,
28,value_financial,indirect,incongruent,"At the store Charlie wanted to buy either a pineapple or a blicket, but only had enough money to buy a pineapple.",a pineapple costs more than a blicket.,Charlie,a pineapple,a blicket,,
28,value_financial,indirect,incongruent,"At the store Charlie wanted to buy either a pineapple or a blicket, but only had enough money to buy a blicket.",a blicket costs more than a pineapple.,Charlie,a pineapple,a blicket,,
29,value_financial,indirect,congruent,"At the store Charlie wanted to buy either a dax or a blicket, but only had enough money to buy a dax.",a blicket costs more than a dax.,Charlie,a dax,a blicket,,
29,value_financial,indirect,congruent,"At the store Charlie wanted to buy either a dax or a blicket, but only had enough money to buy a blicket.",a dax costs more than a blicket.,Charlie,a dax,a blicket,,
29,value_financial,indirect,incongruent,"At the store Charlie wanted to buy either a dax or a blicket, but only had enough money to buy a dax.",a dax costs more than a blicket.,Charlie,a dax,a blicket,,
29,value_financial,indirect,incongruent,"At the store Charlie wanted to buy either a dax or a blicket, but only had enough money to buy a blicket.",a blicket costs more than a dax.,Charlie,a dax,a blicket,,
30,value_financial,indirect,congruent,"At the store Barack Obama wanted to buy either an apple or an orange, but only had enough money to buy an apple.",an orange costs more than an apple.,Barack Obama,an apple,an orange,,
30,value_financial,indirect,congruent,"At the store Barack Obama wanted to buy either an apple or an orange, but only had enough money to buy an orange.",an apple costs more than an orange.,Barack Obama,an apple,an orange,,
30,value_financial,indirect,incongruent,"At the store Barack Obama wanted to buy either an apple or an orange, but only had enough money to buy an apple.",an apple costs more than an orange.,Barack Obama,an apple,an orange,,
30,value_financial,indirect,incongruent,"At the store Barack Obama wanted to buy either an apple or an orange, but only had enough money to buy an orange.",an orange costs more than an apple.,Barack Obama,an apple,an orange,,
31,value_financial,indirect,congruent,"At the store Barack Obama wanted to buy either an apple or a pineapple, but only had enough money to buy an apple.",a pineapple costs more than an apple.,Barack Obama,an apple,a pineapple,,
31,value_financial,indirect,congruent,"At the store Barack Obama wanted to buy either an apple or a pineapple, but only had enough money to buy a pineapple.",an apple costs more than a pineapple.,Barack Obama,an apple,a pineapple,,
31,value_financial,indirect,incongruent,"At the store Barack Obama wanted to buy either an apple or a pineapple, but only had enough money to buy an apple.",an apple costs more than a pineapple.,Barack Obama,an apple,a pineapple,,
31,value_financial,indirect,incongruent,"At the store Barack Obama wanted to buy either an apple or a pineapple, but only had enough money to buy a pineapple.",a pineapple costs more than an apple.,Barack Obama,an apple,a pineapple,,
32,value_financial,indirect,congruent,"At the store Barack Obama wanted to buy either an apple or a dax, but only had enough money to buy an apple.",a dax costs more than an apple.,Barack Obama,an apple,a dax,,
32,value_financial,indirect,congruent,"At the store Barack Obama wanted to buy either an apple or a dax, but only had enough money to buy a dax.",an apple costs more than a dax.,Barack Obama,an apple,a dax,,
32,value_financial,indirect,incongruent,"At the store Barack Obama wanted to buy either an apple or a dax, but only had enough money to buy an apple.",an apple costs more than a dax.,Barack Obama,an apple,a dax,,
32,value_financial,indirect,incongruent,"At the store Barack Obama wanted to buy either an apple or a dax, but only had enough money to buy a dax.",a dax costs more than an apple.,Barack Obama,an apple,a dax,,
33,value_financial,indirect,congruent,"At the store Barack Obama wanted to buy either an apple or a blicket, but only had enough money to buy an apple.",a blicket costs more than an apple.,Barack Obama,an apple,a blicket,,
33,value_financial,indirect,congruent,"At the store Barack Obama wanted to buy either an apple or a blicket, but only had enough money to buy a blicket.",an apple costs more than a blicket.,Barack Obama,an apple,a blicket,,
33,value_financial,indirect,incongruent,"At the store Barack Obama wanted to buy either an apple or a blicket, but only had enough money to buy an apple.",an apple costs more than a blicket.,Barack Obama,an apple,a blicket,,
33,value_financial,indirect,incongruent,"At the store Barack Obama wanted to buy either an apple or a blicket, but only had enough money to buy a blicket.",a blicket costs more than an apple.,Barack Obama,an apple,a blicket,,
34,value_financial,indirect,congruent,"At the store Barack Obama wanted to buy either an orange or a pineapple, but only had enough money to buy an orange.",a pineapple costs more than an orange.,Barack Obama,an orange,a pineapple,,
34,value_financial,indirect,congruent,"At the store Barack Obama wanted to buy either an orange or a pineapple, but only had enough money to buy a pineapple.",an orange costs more than a pineapple.,Barack Obama,an orange,a pineapple,,
34,value_financial,indirect,incongruent,"At the store Barack Obama wanted to buy either an orange or a pineapple, but only had enough money to buy an orange.",an orange costs more than a pineapple.,Barack Obama,an orange,a pineapple,,
34,value_financial,indirect,incongruent,"At the store Barack Obama wanted to buy either an orange or a pineapple, but only had enough money to buy a pineapple.",a pineapple costs more than an orange.,Barack Obama,an orange,a pineapple,,
35,value_financial,indirect,congruent,"At the store Barack Obama wanted to buy either an orange or a dax, but only had enough money to buy an orange.",a dax costs more than an orange.,Barack Obama,an orange,a dax,,
35,value_financial,indirect,congruent,"At the store Barack Obama wanted to buy either an orange or a dax, but only had enough money to buy a dax.",an orange costs more than a dax.,Barack Obama,an orange,a dax,,
35,value_financial,indirect,incongruent,"At the store Barack Obama wanted to buy either an orange or a dax, but only had enough money to buy an orange.",an orange costs more than a dax.,Barack Obama,an orange,a dax,,
35,value_financial,indirect,incongruent,"At the store Barack Obama wanted to buy either an orange or a dax, but only had enough money to buy a dax.",a dax costs more than an orange.,Barack Obama,an orange,a dax,,
36,value_financial,indirect,congruent,"At the store Barack Obama wanted to buy either an orange or a blicket, but only had enough money to buy an orange.",a blicket costs more than an orange.,Barack Obama,an orange,a blicket,,
36,value_financial,indirect,congruent,"At the store Barack Obama wanted to buy either an orange or a blicket, but only had enough money to buy a blicket.",an orange costs more than a blicket.,Barack Obama,an orange,a blicket,,
36,value_financial,indirect,incongruent,"At the store Barack Obama wanted to buy either an orange or a blicket, but only had enough money to buy an orange.",an orange costs more than a blicket.,Barack Obama,an orange,a blicket,,
36,value_financial,indirect,incongruent,"At the store Barack Obama wanted to buy either an orange or a blicket, but only had enough money to buy a blicket.",a blicket costs more than an orange.,Barack Obama,an orange,a blicket,,
37,value_financial,indirect,congruent,"At the store Barack Obama wanted to buy either a pineapple or a dax, but only had enough money to buy a pineapple.",a dax costs more than a pineapple.,Barack Obama,a pineapple,a dax,,
37,value_financial,indirect,congruent,"At the store Barack Obama wanted to buy either a pineapple or a dax, but only had enough money to buy a dax.",a pineapple costs more than a dax.,Barack Obama,a pineapple,a dax,,
37,value_financial,indirect,incongruent,"At the store Barack Obama wanted to buy either a pineapple or a dax, but only had enough money to buy a pineapple.",a pineapple costs more than a dax.,Barack Obama,a pineapple,a dax,,
37,value_financial,indirect,incongruent,"At the store Barack Obama wanted to buy either a pineapple or a dax, but only had enough money to buy a dax.",a dax costs more than a pineapple.,Barack Obama,a pineapple,a dax,,
38,value_financial,indirect,congruent,"At the store Barack Obama wanted to buy either a pineapple or a blicket, but only had enough money to buy a pineapple.",a blicket costs more than a pineapple.,Barack Obama,a pineapple,a blicket,,
38,value_financial,indirect,congruent,"At the store Barack Obama wanted to buy either a pineapple or a blicket, but only had enough money to buy a blicket.",a pineapple costs more than a blicket.,Barack Obama,a pineapple,a blicket,,
38,value_financial,indirect,incongruent,"At the store Barack Obama wanted to buy either a pineapple or a blicket, but only had enough money to buy a pineapple.",a pineapple costs more than a blicket.,Barack Obama,a pineapple,a blicket,,
38,value_financial,indirect,incongruent,"At the store Barack Obama wanted to buy either a pineapple or a blicket, but only had enough money to buy a blicket.",a blicket costs more than a pineapple.,Barack Obama,a pineapple,a blicket,,
39,value_financial,indirect,congruent,"At the store Barack Obama wanted to buy either a dax or a blicket, but only had enough money to buy a dax.",a blicket costs more than a dax.,Barack Obama,a dax,a blicket,,
39,value_financial,indirect,congruent,"At the store Barack Obama wanted to buy either a dax or a blicket, but only had enough money to buy a blicket.",a dax costs more than a blicket.,Barack Obama,a dax,a blicket,,
39,value_financial,indirect,incongruent,"At the store Barack Obama wanted to buy either a dax or a blicket, but only had enough money to buy a dax.",a dax costs more than a blicket.,Barack Obama,a dax,a blicket,,
39,value_financial,indirect,incongruent,"At the store Barack Obama wanted to buy either a dax or a blicket, but only had enough money to buy a blicket.",a blicket costs more than a dax.,Barack Obama,a dax,a blicket,,
40,value_financial,indirect,congruent,"At the store Donald Trump wanted to buy either an apple or an orange, but only had enough money to buy an apple.",an orange costs more than an apple.,Donald Trump,an apple,an orange,,
40,value_financial,indirect,congruent,"At the store Donald Trump wanted to buy either an apple or an orange, but only had enough money to buy an orange.",an apple costs more than an orange.,Donald Trump,an apple,an orange,,
40,value_financial,indirect,incongruent,"At the store Donald Trump wanted to buy either an apple or an orange, but only had enough money to buy an apple.",an apple costs more than an orange.,Donald Trump,an apple,an orange,,
40,value_financial,indirect,incongruent,"At the store Donald Trump wanted to buy either an apple or an orange, but only had enough money to buy an orange.",an orange costs more than an apple.,Donald Trump,an apple,an orange,,
41,value_financial,indirect,congruent,"At the store Donald Trump wanted to buy either an apple or a pineapple, but only had enough money to buy an apple.",a pineapple costs more than an apple.,Donald Trump,an apple,a pineapple,,
41,value_financial,indirect,congruent,"At the store Donald Trump wanted to buy either an apple or a pineapple, but only had enough money to buy a pineapple.",an apple costs more than a pineapple.,Donald Trump,an apple,a pineapple,,
