item,stim_classname,directness,condition,context,target,subject1,subject2,object1
8,helping_hindering,indirect,incongruent,Alice and Charlie are playing a game which requires them to score a goal while avoiding objects. Alice is helping Charlie in this game.,Alice is placing the objects in Charlie’s way.,Alice,Charlie,objects
8,helping_hindering,indirect,incongruent,Alice and Charlie are playing a game which requires them to score a goal while avoiding objects. Alice is hindering Charlie in this game.,Alice is removing the objects from Charlie's way.,Alice,Charlie,objects
9,helping_hindering,indirect,congruent,Alice and Charlie are playing a game which requires them to score a goal while avoiding blocks. Alice is helping Charlie in this game.,Alice is removing the blocks from Charlie's way.,Alice,Charlie,blocks
9,helping_hindering,indirect,congruent,Alice and Charlie are playing a game which requires them to score a goal while avoiding blocks. Alice is hindering Charlie in this game.,Alice is placing the blocks in Charlie’s way.,Alice,Charlie,blocks
9,helping_hindering,indirect,incongruent,Alice and Charlie are playing a game which requires them to score a goal while avoiding blocks. Alice is helping Charlie in this game.,Alice is placing the blocks in Charlie’s way.,Alice,Charlie,blocks
9,helping_hindering,indirect,incongruent,Alice and Charlie are playing a game which requires them to score a goal while avoiding blocks. Alice is hindering Charlie in this game.,Alice is removing the blocks from Charlie's way.,Alice,Charlie,blocks
10,helping_hindering,indirect,congruent,Alice and Charlie are playing a game which requires them to score a goal while avoiding cubes. Alice is helping Charlie in this game.,Alice is removing the cubes from Charlie's way.,Alice,Charlie,cubes
10,helping_hindering,indirect,congruent,Alice and Charlie are playing a game which requires them to score a goal while avoiding cubes. Alice is hindering Charlie in this game.,Alice is placing the cubes in Charlie’s way.,Alice,Charlie,cubes
10,helping_hindering,indirect,incongruent,Alice and Charlie are playing a game which requires them to score a goal while avoiding cubes. Alice is helping Charlie in this game.,Alice is placing the cubes in Charlie’s way.,Alice,Charlie,cubes
10,helping_hindering,indirect,incongruent,Alice and Charlie are playing a game which requires them to score a goal while avoiding cubes. Alice is hindering Charlie in this game.,Alice is removing the cubes from Charlie's way.,Alice,Charlie,cubes
11,helping_hindering,indirect,congruent,Alice and Charlie are playing a game which requires them to score a goal while avoiding spikes. Alice is helping Charlie in this game.,Alice is removing the spikes from Charlie's way.,Alice,Charlie,spikes
11,helping_hindering,indirect,congruent,Alice and Charlie are playing a game which requires them to score a goal while avoiding spikes. Alice is hindering Charlie in this game.,Alice is placing the spikes in Charlie’s way.,Alice,Charlie,spikes
11,helping_hindering,indirect,incongruent,Alice and Charlie are playing a game which requires them to score a goal while avoiding spikes. Alice is helping Charlie in this game.,Alice is placing the spikes in Charlie’s way.,Alice,Charlie,spikes
11,helping_hindering,indirect,incongruent,Alice and Charlie are playing a game which requires them to score a goal while avoiding spikes. Alice is hindering Charlie in this game.,Alice is removing the spikes from Charlie's way.,Alice,Charlie,spikes
12,helping_hindering,indirect,congruent,Alice and Charlie are playing a game which requires them to score a goal while avoiding daxes. Alice is helping Charlie in this game.,Alice is removing the daxes from Charlie's way.,Alice,Charlie,daxes
12,helping_hindering,indirect,congruent,Alice and Charlie are playing a game which requires them to score a goal while avoiding daxes. Alice is hindering Charlie in this game.,Alice is placing the daxes in Charlie’s way.,Alice,Charlie,daxes
12,helping_hindering,indirect,incongruent,Alice and Charlie are playing a game which requires them to score a goal while avoiding daxes. Alice is helping Charlie in this game.,Alice is placing the daxes in Charlie’s way.,Alice,Charlie,daxes
12,helping_hindering,indirect,incongruent,Alice and Charlie are playing a game which requires them to score a goal while avoiding daxes. Alice is hindering Charlie in this game.,Alice is removing the daxes from Charlie's way.,Alice,Charlie,daxes
13,helping_hindering,indirect,congruent,Alice and Charlie are playing a game which requires them to score a goal while avoiding blickets. Alice is helping Charlie in this game.,Alice is removing the blickets from Charlie's way.,Alice,Charlie,blickets
13,helping_hindering,indirect,congruent,Alice and Charlie are playing a game which requires them to score a goal while avoiding blickets. Alice is hindering Charlie in this game.,Alice is placing the blickets in Charlie’s way.,Alice,Charlie,blickets
13,helping_hindering,indirect,incongruent,Alice and Charlie are playing a game which requires them to score a goal while avoiding blickets. Alice is helping Charlie in this game.,Alice is placing the blickets in Charlie’s way.,Alice,Charlie,blickets
13,helping_hindering,indirect,incongruent,Alice and Charlie are playing a game which requires them to score a goal while avoiding blickets. Alice is hindering Charlie in this game.,Alice is removing the blickets from Charlie's way.,Alice,Charlie,blickets
14,helping_hindering,indirect,congruent,Alice and Barack Obama are playing a game which requires them to score a goal while avoiding obstacles. Alice is helping Barack Obama in this game.,Alice is removing the obstacles from Barack Obama's way.,Alice,Barack Obama,obstacles
14,helping_hindering,indirect,congruent,Alice and Barack Obama are playing a game which requires them to score a goal while avoiding obstacles. Alice is hindering Barack Obama in this game.,Alice is placing the obstacles in Barack Obama’s way.,Alice,Barack Obama,obstacles
14,helping_hindering,indirect,incongruent,Alice and Barack Obama are playing a game which requires them to score a goal while avoiding obstacles. Alice is helping Barack Obama in this game.,Alice is placing the obstacles in Barack Obama’s way.,Alice,Barack Obama,obstacles
14,helping_hindering,indirect,incongruent,Alice and Barack Obama are playing a game which requires them to score a goal while avoiding obstacles. Alice is hindering Barack Obama in this game.,Alice is removing the obstacles from Barack Obama's way.,Alice,Barack Obama,obstacles
15,helping_hindering,indirect,congruent,Alice and Barack Obama are playing a game which requires them to score a goal while avoiding objects. Alice is helping Barack Obama in this game.,Alice is removing the objects from Barack Obama's way.,Alice,Barack Obama,objects
15,helping_hindering,indirect,congruent,Alice and Barack Obama are playing a game which requires them to score a goal while avoiding objects. Alice is hindering Barack Obama in this game.,Alice is placing the objects in Barack Obama’s way.,Alice,Barack Obama,objects
15,helping_hindering,indirect,incongruent,Alice and Barack Obama are playing a game which requires them to score a goal while avoiding objects. Alice is helping Barack Obama in this game.,Alice is placing the objects in Barack Obama’s way.,Alice,Barack Obama,objects
15,helping_hindering,indirect,incongruent,Alice and Barack Obama are playing a game which requires them to score a goal while avoiding objects. Alice is hindering Barack Obama in this game.,Alice is removing the objects from Barack Obama's way.,Alice,Barack Obama,objects
16,helping_hindering,indirect,congruent,Alice and Barack Obama are playing a game which requires them to score a goal while avoiding blocks. Alice is helping Barack Obama in this game.,Alice is removing the blocks from Barack Obama's way.,Alice,Barack Obama,blocks
16,helping_hindering,indirect,congruent,Alice and Barack Obama are playing a game which requires them to score a goal while avoiding blocks. Alice is hindering Barack Obama in this game.,Alice is placing the blocks in Barack Obama’s way.,Alice,Barack Obama,blocks
16,helping_hindering,indirect,incongruent,Alice and Barack Obama are playing a game which requires them to score a goal while avoiding blocks. Alice is helping Barack Obama in this game.,Alice is placing the blocks in Barack Obama’s way.,Alice,Barack Obama,blocks
16,helping_hindering,indirect,incongruent,Alice and Barack Obama are playing a game which requires them to score a goal while avoiding blocks. Alice is hindering Barack Obama in this game.,Alice is removing the blocks from Barack Obama's way.,Alice,Barack Obama,blocks
17,helping_hindering,indirect,congruent,Alice and Barack Obama are playing a game which requires them to score a goal while avoiding cubes. Alice is helping Barack Obama in this game.,Alice is removing the cubes from Barack Obama's way.,Alice,Barack Obama,cubes
17,helping_hindering,indirect,congruent,Alice and Barack Obama are playing a game which requires them to score a goal while avoiding cubes. Alice is hindering Barack Obama in this game.,Alice is placing the cubes in Barack Obama’s way.,Alice,Barack Obama,cubes
17,helping_hindering,indirect,incongruent,Alice and Barack Obama are playing a game which requires them to score a goal while avoiding cubes. Alice is helping Barack Obama in this game.,Alice is placing the cubes in Barack Obama’s way.,Alice,Barack Obama,cubes
17,helping_hindering,indirect,incongruent,Alice and Barack Obama are playing a game which requires them to score a goal while avoiding cubes. Alice is hindering Barack Obama in this game.,Alice is removing the cubes from Barack Obama's way.,Alice,Barack Obama,cubes
18,helping_hindering,indirect,congruent,Alice and Barack Obama are playing a game which requires them to score a goal while avoiding spikes. Alice is helping Barack Obama in this game.,Alice is removing the spikes from Barack Obama's way.,Alice,Barack Obama,spikes
18,helping_hindering,indirect,congruent,Alice and Barack Obama are playing a game which requires them to score a goal while avoiding spikes. Alice is hindering Barack Obama in this game.,Alice is placing the spikes in Barack Obama’s way.,Alice,Barack Obama,spikes
18,helping_hindering,indirect,incongruent,Alice and Barack Obama are playing a game which requires them to score a goal while avoiding spikes. Alice is helping Barack Obama in this game.,Alice is placing the spikes in Barack Obama’s way.,Alice,Barack Obama,spikes
18,helping_hindering,indirect,incongruent,Alice and Barack Obama are playing a game which requires them to score a goal while avoiding spikes. Alice is hindering Barack Obama in this game.,Alice is removing the spikes from Barack Obama's way.,Alice,Barack Obama,spikes
19,helping_hindering,indirect,congruent,Alice and Barack Obama are playing a game which requires them to score a goal while avoiding daxes. Alice is helping Barack Obama in this game.,Alice is removing the daxes from Barack Obama's way.,Alice,Barack Obama,daxes
19,helping_hindering,indirect,congruent,Alice and Barack Obama are playing a game which requires them to score a goal while avoiding daxes. Alice is hindering Barack Obama in this game.,Alice is placing the daxes in Barack Obama’s way.,Alice,Barack Obama,daxes
19,helping_hindering,indirect,incongruent,Alice and Barack Obama are playing a game which requires them to score a goal while avoiding daxes. Alice is helping Barack Obama in this game.,Alice is placing the daxes in Barack Obama’s way.,Alice,Barack Obama,daxes
19,helping_hindering,indirect,incongruent,Alice and Barack Obama are playing a game which requires them to score a goal while avoiding daxes. Alice is hindering Barack Obama in this game.,Alice is removing the daxes from Barack Obama's way.,Alice,Barack Obama,daxes
20,helping_hindering,indirect,congruent,Alice and Barack Obama are playing a game which requires them to score a goal while avoiding blickets. Alice is helping Barack Obama in this game.,Alice is removing the blickets from Barack Obama's way.,Alice,Barack Obama,blickets
20,helping_hindering,indirect,congruent,Alice and Barack Obama are playing a game which requires them to score a goal while avoiding blickets. Alice is hindering Barack Obama in this game.,Alice is placing the blickets in Barack Obama’s way.,Alice,Barack Obama,blickets
20,helping_hindering,indirect,incongruent,Alice and Barack Obama are playing a game which requires them to score a goal while avoiding blickets. Alice is helping Barack Obama in this game.,Alice is placing the blickets in Barack Obama’s way.,Alice,Barack Obama,blickets
20,helping_hindering,indirect,incongruent,Alice and Barack Obama are playing a game which requires them to score a goal while avoiding blickets. Alice is hindering Barack Obama in this game.,Alice is removing the blickets from Barack Obama's way.,Alice,Barack Obama,blickets
21,helping_hindering,indirect,congruent,Alice and Donald Trump are playing a game which requires them to score a goal while avoiding obstacles. Alice is helping Donald Trump in this game.,Alice is removing the obstacles from Donald Trump's way.,Alice,Donald Trump,obstacles
21,helping_hindering,indirect,congruent,Alice and Donald Trump are playing a game which requires them to score a goal while avoiding obstacles. Alice is hindering Donald Trump in this game.,Alice is placing the obstacles in Donald Trump’s way.,Alice,Donald Trump,obstacles
21,helping_hindering,indirect,incongruent,Alice and Donald Trump are playing a game which requires them to score a goal while avoiding obstacles. Alice is helping Donald Trump in this game.,Alice is placing the obstacles in Donald Trump’s way.,Alice,Donald Trump,obstacles
21,helping_hindering,indirect,incongruent,Alice and Donald Trump are playing a game which requires them to score a goal while avoiding obstacles. Alice is hindering Donald Trump in this game.,Alice is removing the obstacles from Donald Trump's way.,Alice,Donald Trump,obstacles
22,helping_hindering,indirect,congruent,Alice and Donald Trump are playing a game which requires them to score a goal while avoiding objects. Alice is helping Donald Trump in this game.,Alice is removing the objects from Donald Trump's way.,Alice,Donald Trump,objects
22,helping_hindering,indirect,congruent,Alice and Donald Trump are playing a game which requires them to score a goal while avoiding objects. Alice is hindering Donald Trump in this game.,Alice is placing the objects in Donald Trump’s way.,Alice,Donald Trump,objects
22,helping_hindering,indirect,incongruent,Alice and Donald Trump are playing a game which requires them to score a goal while avoiding objects. Alice is helping Donald Trump in this game.,Alice is placing the objects in Donald Trump’s way.,Alice,Donald Trump,objects
22,helping_hindering,indirect,incongruent,Alice and Donald Trump are playing a game which requires them to score a goal while avoiding objects. Alice is hindering Donald Trump in this game.,Alice is removing the objects from Donald Trump's way.,Alice,Donald Trump,objects
23,helping_hindering,indirect,congruent,Alice and Donald Trump are playing a game which requires them to score a goal while avoiding blocks. Alice is helping Donald Trump in this game.,Alice is removing the blocks from Donald Trump's way.,Alice,Donald Trump,blocks
23,helping_hindering,indirect,congruent,Alice and Donald Trump are playing a game which requires them to score a goal while avoiding blocks. Alice is hindering Donald Trump in this game.,Alice is placing the blocks in Donald Trump’s way.,Alice,Donald Trump,blocks
23,helping_hindering,indirect,incongruent,Alice and Donald Trump are playing a game which requires them to score a goal while avoiding blocks. Alice is helping Donald Trump in this game.,Alice is placing the blocks in Donald Trump’s way.,Alice,Donald Trump,blocks
23,helping_hindering,indirect,incongruent,Alice and Donald Trump are playing a game which requires them to score a goal while avoiding blocks. Alice is hindering Donald Trump in this game.,Alice is removing the blocks from Donald Trump's way.,Alice,Donald Trump,blocks
24,helping_hindering,indirect,congruent,Alice and Donald Trump are playing a game which requires them to score a goal while avoiding cubes. Alice is helping Donald Trump in this game.,Alice is removing the cubes from Donald Trump's way.,Alice,Donald Trump,cubes
24,helping_hindering,indirect,congruent,Alice and Donald Trump are playing a game which requires them to score a goal while avoiding cubes. Alice is hindering Donald Trump in this game.,Alice is placing the cubes in Donald Trump’s way.,Alice,Donald Trump,cubes
24,helping_hindering,indirect,incongruent,Alice and Donald Trump are playing a game which requires them to score a goal while avoiding cubes. Alice is helping Donald Trump in this game.,Alice is placing the cubes in Donald Trump’s way.,Alice,Donald Trump,cubes
24,helping_hindering,indirect,incongruent,Alice and Donald Trump are playing a game which requires them to score a goal while avoiding cubes. Alice is hindering Donald Trump in this game.,Alice is removing the cubes from Donald Trump's way.,Alice,Donald Trump,cubes
25,helping_hindering,indirect,congruent,Alice and Donald Trump are playing a game which requires them to score a goal while avoiding spikes. Alice is helping Donald Trump in this game.,Alice is removing the spikes from Donald Trump's way.,Alice,Donald Trump,spikes
25,helping_hindering,indirect,congruent,Alice and Donald Trump are playing a game which requires them to score a goal while avoiding spikes. Alice is hindering Donald Trump in this game.,Alice is placing the spikes in Donald Trump’s way.,Alice,Donald Trump,spikes
25,helping_hindering,indirect,incongruent,Alice and Donald Trump are playing a game which requires them to score a goal while avoiding spikes. Alice is helping Donald Trump in this game.,Alice is placing the spikes in Donald Trump’s way.,Alice,Donald Trump,spikes
25,helping_hindering,indirect,incongruent,Alice and Donald Trump are playing a game which requires them to score a goal while avoiding spikes. Alice is hindering Donald Trump in this game.,Alice is removing the spikes from Donald Trump's way.,Alice,Donald Trump,spikes
26,helping_hindering,indirect,congruent,Alice and Donald Trump are playing a game which requires them to score a goal while avoiding daxes. Alice is helping Donald Trump in this game.,Alice is removing the daxes from Donald Trump's way.,Alice,Donald Trump,daxes
26,helping_hindering,indirect,congruent,Alice and Donald Trump are playing a game which requires them to score a goal while avoiding daxes. Alice is hindering Donald Trump in this game.,Alice is placing the daxes in Donald Trump’s way.,Alice,Donald Trump,daxes
26,helping_hindering,indirect,incongruent,Alice and Donald Trump are playing a game which requires them to score a goal while avoiding daxes. Alice is helping Donald Trump in this game.,Alice is placing the daxes in Donald Trump’s way.,Alice,Donald Trump,daxes
26,helping_hindering,indirect,incongruent,Alice and Donald Trump are playing a game which requires them to score a goal while avoiding daxes. Alice is hindering Donald Trump in this game.,Alice is removing the daxes from Donald Trump's way.,Alice,Donald Trump,daxes
27,helping_hindering,indirect,congruent,Alice and Donald Trump are playing a game which requires them to score a goal while avoiding blickets. Alice is helping Donald Trump in this game.,Alice is removing the blickets from Donald Trump's way.,Alice,Donald Trump,blickets
27,helping_hindering,indirect,congruent,Alice and Donald Trump are playing a game which requires them to score a goal while avoiding blickets. Alice is hindering Donald Trump in this game.,Alice is placing the blickets in Donald Trump’s way.,Alice,Donald Trump,blickets
27,helping_hindering,indirect,incongruent,Alice and Donald Trump are playing a game which requires them to score a goal while avoiding blickets. Alice is helping Donald Trump in this game.,Alice is placing the blickets in Donald Trump’s way.,Alice,Donald Trump,blickets
27,helping_hindering,indirect,incongruent,Alice and Donald Trump are playing a game which requires them to score a goal while avoiding blickets. Alice is hindering Donald Trump in this game.,Alice is removing the blickets from Donald Trump's way.,Alice,Donald Trump,blickets
28,helping_hindering,indirect,congruent,Alice and Mom are playing a game which requires them to score a goal while avoiding obstacles. Alice is helping Mom in this game.,Alice is removing the obstacles from Mom's way.,Alice,Mom,obstacles
28,helping_hindering,indirect,congruent,Alice and Mom are playing a game which requires them to score a goal while avoiding obstacles. Alice is hindering Mom in this game.,Alice is placing the obstacles in Mom’s way.,Alice,Mom,obstacles
28,helping_hindering,indirect,incongruent,Alice and Mom are playing a game which requires them to score a goal while avoiding obstacles. Alice is helping Mom in this game.,Alice is placing the obstacles in Mom’s way.,Alice,Mom,obstacles
28,helping_hindering,indirect,incongruent,Alice and Mom are playing a game which requires them to score a goal while avoiding obstacles. Alice is hindering Mom in this game.,Alice is removing the obstacles from Mom's way.,Alice,Mom,obstacles
29,helping_hindering,indirect,congruent,Alice and Mom are playing a game which requires them to score a goal while avoiding objects. Alice is helping Mom in this game.,Alice is removing the objects from Mom's way.,Alice,Mom,objects
29,helping_hindering,indirect,congruent,Alice and Mom are playing a game which requires them to score a goal while avoiding objects. Alice is hindering Mom in this game.,Alice is placing the objects in Mom’s way.,Alice,Mom,objects
29,helping_hindering,indirect,incongruent,Alice and Mom are playing a game which requires them to score a goal while avoiding objects. Alice is helping Mom in this game.,Alice is placing the objects in Mom’s way.,Alice,Mom,objects
29,helping_hindering,indirect,incongruent,Alice and Mom are playing a game which requires them to score a goal while avoiding objects. Alice is hindering Mom in this game.,Alice is removing the objects from Mom's way.,Alice,Mom,objects
30,helping_hindering,indirect,congruent,Alice and Mom are playing a game which requires them to score a goal while avoiding blocks. Alice is helping Mom in this game.,Alice is removing the blocks from Mom's way.,Alice,Mom,blocks
30,helping_hindering,indirect,congruent,Alice and Mom are playing a game which requires them to score a goal while avoiding blocks. Alice is hindering Mom in this game.,Alice is placing the blocks in Mom’s way.,Alice,Mom,blocks
30,helping_hindering,indirect,incongruent,Alice and Mom are playing a game which requires them to score a goal while avoiding blocks. Alice is helping Mom in this game.,Alice is placing the blocks in Mom’s way.,Alice,Mom,blocks
30,helping_hindering,indirect,incongruent,Alice and Mom are playing a game which requires them to score a goal while avoiding blocks. Alice is hindering Mom in this game.,Alice is removing the blocks from Mom's way.,Alice,Mom,blocks
31,helping_hindering,indirect,congruent,Alice and Mom are playing a game which requires them to score a goal while avoiding cubes. Alice is helping Mom in this game.,Alice is removing the cubes from Mom's way.,Alice,Mom,cubes
31,helping_hindering,indirect,congruent,Alice and Mom are playing a game which requires them to score a goal while avoiding cubes. Alice is hindering Mom in this game.,Alice is placing the cubes in Mom’s way.,Alice,Mom,cubes
31,helping_hindering,indirect,incongruent,Alice and Mom are playing a game which requires them to score a goal while avoiding cubes. Alice is helping Mom in this game.,Alice is placing the cubes in Mom’s way.,Alice,Mom,cubes
31,helping_hindering,indirect,incongruent,Alice and Mom are playing a game which requires them to score a goal while avoiding cubes. Alice is hindering Mom in this game.,Alice is removing the cubes from Mom's way.,Alice,Mom,cubes
32,helping_hindering,indirect,congruent,Alice and Mom are playing a game which requires them to score a goal while avoiding spikes. Alice is helping Mom in this game.,Alice is removing the spikes from Mom's way.,Alice,Mom,spikes
32,helping_hindering,indirect,congruent,Alice and Mom are playing a game which requires them to score a goal while avoiding spikes. Alice is hindering Mom in this game.,Alice is placing the spikes in Mom’s way.,Alice,Mom,spikes
32,helping_hindering,indirect,incongruent,Alice and Mom are playing a game which requires them to score a goal while avoiding spikes. Alice is helping Mom in this game.,Alice is placing the spikes in Mom’s way.,Alice,Mom,spikes
32,helping_hindering,indirect,incongruent,Alice and Mom are playing a game which requires them to score a goal while avoiding spikes. Alice is hindering Mom in this game.,Alice is removing the spikes from Mom's way.,Alice,Mom,spikes
33,helping_hindering,indirect,congruent,Alice and Mom are playing a game which requires them to score a goal while avoiding daxes. Alice is helping Mom in this game.,Alice is removing the daxes from Mom's way.,Alice,Mom,daxes
33,helping_hindering,indirect,congruent,Alice and Mom are playing a game which requires them to score a goal while avoiding daxes. Alice is hindering Mom in this game.,Alice is placing the daxes in Mom’s way.,Alice,Mom,daxes
33,helping_hindering,indirect,incongruent,Alice and Mom are playing a game which requires them to score a goal while avoiding daxes. Alice is helping Mom in this game.,Alice is placing the daxes in Mom’s way.,Alice,Mom,daxes
33,helping_hindering,indirect,incongruent,Alice and Mom are playing a game which requires them to score a goal while avoiding daxes. Alice is hindering Mom in this game.,Alice is removing the daxes from Mom's way.,Alice,Mom,daxes
34,helping_hindering,indirect,congruent,Alice and Mom are playing a game which requires them to score a goal while avoiding blickets. Alice is helping Mom in this game.,Alice is removing the blickets from Mom's way.,Alice,Mom,blickets
34,helping_hindering,indirect,congruent,Alice and Mom are playing a game which requires them to score a goal while avoiding blickets. Alice is hindering Mom in this game.,Alice is placing the blickets in Mom’s way.,Alice,Mom,blickets
34,helping_hindering,indirect,incongruent,Alice and Mom are playing a game which requires them to score a goal while avoiding blickets. Alice is helping Mom in this game.,Alice is placing the blickets in Mom’s way.,Alice,Mom,blickets
34,helping_hindering,indirect,incongruent,Alice and Mom are playing a game which requires them to score a goal while avoiding blickets. Alice is hindering Mom in this game.,Alice is removing the blickets from Mom's way.,Alice,Mom,blickets
35,helping_hindering,indirect,congruent,Alice and Dad are playing a game which requires them to score a goal while avoiding obstacles. Alice is helping Dad in this game.,Alice is removing the obstacles from Dad's way.,Alice,Dad,obstacles
35,helping_hindering,indirect,congruent,Alice and Dad are playing a game which requires them to score a goal while avoiding obstacles. Alice is hindering Dad in this game.,Alice is placing the obstacles in Dad’s way.,Alice,Dad,obstacles
