item,stim_classname,directness,condition,context,target,subject1,subject2
31,respecting_insulting,direct,incongruent,Bob and Dad are sitting at a table having a conversation. Bob is respecting Dad.,Bob is saying hurtful things about Dad.,Bob,Dad
31,respecting_insulting,direct,incongruent,Bob and Dad are sitting at a table having a conversation. Bob is insulting Dad.,Bob is being considerate towards Dad.,Bob,Dad
32,respecting_insulting,direct,congruent,Charlie and Barack Obama are sitting at a table having a conversation. Charlie is respecting Barack Obama.,Charlie is being considerate towards Barack Obama.,Charlie,Barack Obama
32,respecting_insulting,direct,congruent,Charlie and Barack Obama are sitting at a table having a conversation. Charlie is insulting Barack Obama.,Charlie is saying hurtful things about Barack Obama.,Charlie,Barack Obama
32,respecting_insulting,direct,incongruent,Charlie and Barack Obama are sitting at a table having a conversation. Charlie is respecting Barack Obama.,Charlie is saying hurtful things about Barack Obama.,Charlie,Barack Obama
32,respecting_insulting,direct,incongruent,Charlie and Barack Obama are sitting at a table having a conversation. Charlie is insulting Barack Obama.,Charlie is being considerate towards Barack Obama.,Charlie,Barack Obama
33,respecting_insulting,direct,congruent,Charlie and Donald Trump are sitting at a table having a conversation. Charlie is respecting Donald Trump.,Charlie is being considerate towards Donald Trump.,Charlie,Donald Trump
33,respecting_insulting,direct,congruent,Charlie and Donald Trump are sitting at a table having a conversation. Charlie is insulting Donald Trump.,Charlie is saying hurtful things about Donald Trump.,Charlie,Donald Trump
33,respecting_insulting,direct,incongruent,Charlie and Donald Trump are sitting at a table having a conversation. Charlie is respecting Donald Trump.,Charlie is saying hurtful things about Donald Trump.,Charlie,Donald Trump
33,respecting_insulting,direct,incongruent,Charlie and Donald Trump are sitting at a table having a conversation. Charlie is insulting Donald Trump.,Charlie is being considerate towards Donald Trump.,Charlie,Donald Trump
34,respecting_insulting,direct,congruent,Charlie and Mom are sitting at a table having a conversation. Charlie is respecting Mom.,Charlie is being considerate towards Mom.,Charlie,Mom
34,respecting_insulting,direct,congruent,Charlie and Mom are sitting at a table having a conversation. Charlie is insulting Mom.,Charlie is saying hurtful things about Mom.,Charlie,Mom
34,respecting_insulting,direct,incongruent,Charlie and Mom are sitting at a table having a conversation. Charlie is respecting Mom.,Charlie is saying hurtful things about Mom.,Charlie,Mom
34,respecting_insulting,direct,incongruent,Charlie and Mom are sitting at a table having a conversation. Charlie is insulting Mom.,Charlie is being considerate towards Mom.,Charlie,Mom
35,respecting_insulting,direct,congruent,Charlie and Dad are sitting at a table having a conversation. Charlie is respecting Dad.,Charlie is being considerate towards Dad.,Charlie,Dad
35,respecting_insulting,direct,congruent,Charlie and Dad are sitting at a table having a conversation. Charlie is insulting Dad.,Charlie is saying hurtful things about Dad.,Charlie,Dad
35,respecting_insulting,direct,incongruent,Charlie and Dad are sitting at a table having a conversation. Charlie is respecting Dad.,Charlie is saying hurtful things about Dad.,Charlie,Dad
35,respecting_insulting,direct,incongruent,Charlie and Dad are sitting at a table having a conversation. Charlie is insulting Dad.,Charlie is being considerate towards Dad.,Charlie,Dad
36,respecting_insulting,direct,congruent,Barack Obama and Donald Trump are sitting at a table having a conversation. Barack Obama is respecting Donald Trump.,Barack Obama is being considerate towards Donald Trump.,Barack Obama,Donald Trump
36,respecting_insulting,direct,congruent,Barack Obama and Donald Trump are sitting at a table having a conversation. Barack Obama is insulting Donald Trump.,Barack Obama is saying hurtful things about Donald Trump.,Barack Obama,Donald Trump
36,respecting_insulting,direct,incongruent,Barack Obama and Donald Trump are sitting at a table having a conversation. Barack Obama is respecting Donald Trump.,Barack Obama is saying hurtful things about Donald Trump.,Barack Obama,Donald Trump
36,respecting_insulting,direct,incongruent,Barack Obama and Donald Trump are sitting at a table having a conversation. Barack Obama is insulting Donald Trump.,Barack Obama is being considerate towards Donald Trump.,Barack Obama,Donald Trump
37,respecting_insulting,direct,congruent,Barack Obama and Mom are sitting at a table having a conversation. Barack Obama is respecting Mom.,Barack Obama is being considerate towards Mom.,Barack Obama,Mom
37,respecting_insulting,direct,congruent,Barack Obama and Mom are sitting at a table having a conversation. Barack Obama is insulting Mom.,Barack Obama is saying hurtful things about Mom.,Barack Obama,Mom
37,respecting_insulting,direct,incongruent,Barack Obama and Mom are sitting at a table having a conversation. Barack Obama is respecting Mom.,Barack Obama is saying hurtful things about Mom.,Barack Obama,Mom
37,respecting_insulting,direct,incongruent,Barack Obama and Mom are sitting at a table having a conversation. Barack Obama is insulting Mom.,Barack Obama is being considerate towards Mom.,Barack Obama,Mom
38,respecting_insulting,direct,congruent,Barack Obama and Dad are sitting at a table having a conversation. Barack Obama is respecting Dad.,Barack Obama is being considerate towards Dad.,Barack Obama,Dad
38,respecting_insulting,direct,congruent,Barack Obama and Dad are sitting at a table having a conversation. Barack Obama is insulting Dad.,Barack Obama is saying hurtful things about Dad.,Barack Obama,Dad
38,respecting_insulting,direct,incongruent,Barack Obama and Dad are sitting at a table having a conversation. Barack Obama is respecting Dad.,Barack Obama is saying hurtful things about Dad.,Barack Obama,Dad
38,respecting_insulting,direct,incongruent,Barack Obama and Dad are sitting at a table having a conversation. Barack Obama is insulting Dad.,Barack Obama is being considerate towards Dad.,Barack Obama,Dad
39,respecting_insulting,direct,congruent,Donald Trump and Mom are sitting at a table having a conversation. Donald Trump is respecting Mom.,Donald Trump is being considerate towards Mom.,Donald Trump,Mom
39,respecting_insulting,direct,congruent,Donald Trump and Mom are sitting at a table having a conversation. Donald Trump is insulting Mom.,Donald Trump is saying hurtful things about Mom.,Donald Trump,Mom
39,respecting_insulting,direct,incongruent,Donald Trump and Mom are sitting at a table having a conversation. Donald Trump is respecting Mom.,Donald Trump is saying hurtful things about Mom.,Donald Trump,Mom
39,respecting_insulting,direct,incongruent,Donald Trump and Mom are sitting at a table having a conversation. Donald Trump is insulting Mom.,Donald Trump is being considerate towards Mom.,Donald Trump,Mom
40,respecting_insulting,direct,congruent,Donald Trump and Dad are sitting at a table having a conversation. Donald Trump is respecting Dad.,Donald Trump is being considerate towards Dad.,Donald Trump,Dad
40,respecting_insulting,direct,congruent,Donald Trump and Dad are sitting at a table having a conversation. Donald Trump is insulting Dad.,Donald Trump is saying hurtful things about Dad.,Donald Trump,Dad
40,respecting_insulting,direct,incongruent,Donald Trump and Dad are sitting at a table having a conversation. Donald Trump is respecting Dad.,Donald Trump is saying hurtful things about Dad.,Donald Trump,Dad
